scan,chan,freq_hz,bw_hz,power
kal -s GSM900 -v,45,944000000.0,11367.0,8825312.52
kal -s GSM900 -v,121,959200000.0,32715.000000000004,8037093.29
kal -s GSM900 -v,122,959400000.0,7424.0,7847814.68
kal -s GSM900 -v,123,959600000.0,17276.0,8109850.93
kal -s GSM850 -v,133,870200000.0,39384.0,10537021.89
kal -s GSM850 -v,181,879800000.0,39764.0,10637240.67
kal -s GSM850 -v,233,890200000.0,32330.0,10456169.92
kal -s GSM850 -v,234,890400000.0,7229.0,10493417.23
kal -s GSM850 -v,235,890600000.0,17577.0,10503474.17
kal -s GSM850 -v,236,890800000.0,17658.0,10351115.17
