Time_Human,Time_Unix_ms,CPU_Load_1m,CPU_Freq_MHz,Core_0_%,Core_1_%,Core_2_%,Core_3_%,Core_4_%,Core_5_%,Core_6_%,Core_7_%,Core_8_%,Core_9_%,Core_10_%,Core_11_%,RAM_Used_%,Swap_Used_%,Disk_Write_MBps,Temp_C,Throttled
15:51:16.667,1775681476667,0.73,3141,33.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,73.0,46.7,188.804,58.0,N/A
15:51:17.919,1775681477919,0.76,2930,12.3,6.3,52.3,0.9,9.1,0.0,54.5,0.0,15.2,13.6,14.9,14.3,71.6,46.7,0.0,58.0,N/A
15:51:19.026,1775681479026,0.76,2217,8.2,3.1,3.2,5.3,3.2,2.1,30.2,70.8,7.3,5.4,5.3,7.3,71.6,46.7,0.099,56.0,N/A
15:51:19.910,1775681479910,0.76,2219,6.5,1.1,2.2,4.4,1.1,1.1,0.0,98.9,6.6,6.6,3.4,4.5,71.6,46.7,0.164,56.0,N/A
15:51:20.803,1775681480803,0.76,2114,3.6,2.4,1.2,2.4,1.2,0.0,0.0,100.0,4.8,3.6,4.8,5.9,71.5,46.7,0.122,56.0,N/A
15:51:21.682,1775681481682,0.76,2402,8.3,4.2,5.2,9.4,8.4,2.1,3.1,100.0,9.4,7.4,5.4,9.5,72.9,46.7,0.044,56.0,N/A
15:51:22.643,1775681482643,0.94,2273,4.2,1.1,2.2,5.4,2.1,0.0,0.0,100.0,6.5,3.3,5.5,4.4,72.5,46.7,0.0,56.0,N/A
15:51:23.592,1775681483592,0.94,2123,5.1,4.1,2.1,8.2,4.2,2.1,3.1,99.0,6.3,7.2,7.3,7.1,72.7,46.7,0.0,56.0,N/A
15:51:24.583,1775681484583,0.94,2005,5.1,0.0,2.1,5.1,1.0,1.0,1.0,100.0,5.2,6.2,3.1,2.1,71.5,46.7,2.373,56.0,N/A
15:51:25.522,1775681485522,0.94,1839,5.4,3.2,3.3,6.6,2.2,1.1,0.0,100.0,6.6,4.5,3.4,4.4,70.8,46.7,0.121,56.0,N/A
15:51:26.446,1775681486446,0.94,1981,4.4,1.1,3.4,4.4,0.0,0.0,16.7,82.2,5.6,7.6,4.5,3.4,70.8,46.7,0.156,56.0,N/A
15:51:27.344,1775681487344,1.02,2213,6.5,1.1,0.0,6.5,4.4,1.1,54.4,42.4,6.6,6.5,5.6,4.4,70.8,46.7,0.07,56.0,N/A
15:51:28.254,1775681488254,1.02,1692,9.9,0.0,1.1,3.3,1.1,1.1,100.0,0.0,8.6,6.6,5.5,5.6,70.9,46.7,0.004,56.0,N/A
15:51:29.156,1775681489156,1.02,3283,6.7,3.3,4.5,9.0,73.3,3.3,29.2,5.6,12.1,5.7,8.9,5.7,72.3,46.7,0.0,56.0,N/A
15:51:30.077,1775681490077,1.02,2164,4.5,2.2,3.4,0.0,47.1,33.0,23.6,2.3,4.7,7.9,9.0,9.0,72.4,46.7,0.182,56.0,N/A
15:51:30.976,1775681490976,1.02,1970,9.9,1.0,4.2,5.3,42.3,43.3,24.0,2.0,9.2,9.1,9.2,7.1,72.4,46.7,0.004,56.0,N/A
